id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_oeh_medical_sm_caregiver_caregiver,sm.caregiver,model_sm_caregiver,smartmind_shifa.group_oeh_medical_caregiver,1,1,0,0
access_oeh_medical_sm_caregiver_super,sm.caregiver,model_sm_caregiver,group_oeh_medical_super_caregiver,1,1,1,0
access_oeh_medical_treatment_super,oeh.medical.treatment,oehealth.model_oeh_medical_treatment,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_patient_medical_cert_super,oehealth_extra_addons.oeh.medical.patient.medical.cert,oehealth_extra_addons.model_oeh_medical_patient_medical_cert,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_lab_test_super,oehealth.oeh.medical.lab.test,oehealth.model_oeh_medical_lab_test,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_patient_family_super,oeh.medical.patient.family,oehealth.model_oeh_medical_patient_family,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_inpatient_super,oehealth.oeh.medical.inpatient,oehealth.model_oeh_medical_inpatient,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_prescription_line_super,oehealth.oeh.medical.prescription.line,oehealth.model_oeh_medical_prescription_line,group_oeh_medical_super_caregiver,1,0,0,0
access_model_oeh_medical_patient_super,oeh.medical.patient,oehealth.model_oeh_medical_patient,group_oeh_medical_super_caregiver,1,1,1,0
access_oeh_medical_gyneco_super,oeh.medical.gyneco,oehealth.model_oeh_medical_gyneco,group_oeh_medical_super_caregiver,1,0,0,0
access_sm_shifa_hhc_appointment_super,sm.shifa.hhc.appointment,smartmind_shifa.model_sm_shifa_hhc_appointment,group_oeh_medical_super_caregiver,1,1,1,0
access_sm_shifa_physician_admission_super,sm.shifa.physician.admission,smartmind_shifa.model_sm_shifa_physician_admission,group_oeh_medical_super_caregiver,1,1,1,0
access_oeh_medical_physician_super,oeh.medical.physician,oehealth.model_oeh_medical_physician,group_oeh_medical_super_caregiver,1,1,0,0
access_oeh_medical_dose_unit_super,oeh.medical.dose.unit,oehealth.model_oeh_medical_dose_unit,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_drug_route_super,oeh.medical.drug.route,oehealth.model_oeh_medical_drug_route,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_drug_form_super,oeh.medical.drug.form,oehealth.model_oeh_medical_drug_form,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_dosage_super,oeh.medical.dosage,oehealth.model_oeh_medical_dosage,group_oeh_medical_super_caregiver,1,1,1,0
access_sm_shifa_brand_medicines_super,sm.shifa.brand.medicines,smartmind_shifa.model_sm_shifa_brand_medicines,group_oeh_medical_super_caregiver,1,0,0,0
access_sm_shifa_generic_medicines_super,sm.shifa.generic.medicines,smartmind_shifa.model_sm_shifa_generic_medicines,group_oeh_medical_super_caregiver,1,0,0,0
access_sm_caregiver_main_patient_medicines_super,sm.caregiver.main.patient.medicine,model_sm_caregiver_main_patient_medicine,group_oeh_medical_super_caregiver,1,1,1,0
access_oeh_medical_sm_shifa_care_giver_follow_up_super,sm.shifa.care.giver.follow.up,smartmind_shifa_extra.model_sm_shifa_care_giver_follow_up,group_oeh_medical_super_caregiver,1,1,0,0
access_oeh_medical_sm_shifa_care_giver_follow_up_lines_prescribed_medicine_super,sm.shifa.care.giver.follow.up.lines.prescribed.medicine,smartmind_shifa_extra.model_sm_shifa_care_giver_follow_up_lines_prescribed_medicine,group_oeh_medical_super_caregiver,1,0,1,0
access_oeh_medical_patient_call_log_super,oehealth_extra_addons.oeh.medical.patient.call.log,oehealth_extra_addons.model_oeh_medical_patient_call_log,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_surgery_super,oehealth_extra_addons.oeh.medical.surgery,oehealth_extra_addons.model_oeh_medical_surgery,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_evaluation_super,oehealth.oeh.medical.evaluation,oehealth.model_oeh_medical_evaluation,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_pediatrics_psc_super,oehealth_extra_addons.oeh.medical.pediatrics.psc,oehealth_extra_addons.model_oeh_medical_pediatrics_psc,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_followup_super,oeh.medical.followup,oehealth.model_oeh_medical_followup,group_oeh_medical_super_caregiver,1,0,0,0
access_medical_sm_medical_report_super,sm.medical.report,smartmind_shifa_more.model_sm_medical_report,group_oeh_medical_super_caregiver,1,0,0,0
access_sm_shifa_physiotherapy_assessment_super,sm.shifa.physiotherapy.assessment,smartmind_shifa.model_sm_shifa_physiotherapy_assessment,group_oeh_medical_super_caregiver,1,0,0,0
access_sm_shifa_wound_assessment_super,sm.shifa.wound.assessment,smartmind_shifa.model_sm_shifa_wound_assessment,group_oeh_medical_super_caregiver,1,0,0,0
access_sm_shifa_imaging_request_super,sm.shifa.imaging.request,smartmind_shifa.model_sm_shifa_imaging_request,group_oeh_medical_super_caregiver,1,0,0,0
access_oeh_medical_sm_shifa_instant_prescription_super,sm.shifa.instant.prescriptions,smartmind_shifa_extra.model_sm_shifa_instant_prescriptions,group_oeh_medical_super_caregiver,1,0,0,0
