id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

access_oeh_medical_patient_family_manager,oeh.medical.patient.family manager,oehealth.model_oeh_medical_patient_family,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_patient_manager,oeh.medical.patient manager,oehealth.model_oeh_medical_patient,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_appointment_manager,oeh.medical.appointment manager,oehealth.model_oeh_medical_appointment,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_physician_manager,oeh.medical.physician manager,oehealth.model_oeh_medical_physician,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_physician_line_manager,oeh.medical.physician.line manager,oehealth.model_oeh_medical_physician_line,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_ethnicity_manager,oeh.medical.ethnicity manager,oehealth.model_oeh_medical_ethnicity,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_genetics_manager,oeh.medical.genetics manager,oehealth.model_oeh_medical_genetics,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_insurance_manager,oeh.medical.insurance manager,oehealth.model_oeh_medical_insurance,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_insurance_type_manager,oeh.medical.insurance.type manager,oehealth.model_oeh_medical_insurance_type,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_degrees_manager,oeh.medical.degrees manager,oehealth.model_oeh_medical_degrees,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_speciality_manager,oeh.medical.speciality manager,oehealth.model_oeh_medical_speciality,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_health_center_manager,oeh.medical.health.center manager,oehealth.model_oeh_medical_health_center,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_health_center_building_manager,oeh.medical.health.center.building manager,oehealth.model_oeh_medical_health_center_building,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_health_center_ward_manager,oeh.medical.health.center.ward manager,oehealth.model_oeh_medical_health_center_ward,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_health_center_beds_manager,oeh.medical.health.center.beds manager,oehealth.model_oeh_medical_health_center_beds,oehealth.group_oeh_medical_manager,1,1,1,1
access_oeh_medical_pathology_category_manager,oeh.medical.pathology.category manager,oehealth.model_oeh_medical_pathology_category,oehealth.group_oeh_medical_manager,1,1,1,1
